Date,Interest_Rate
1998-01-01,9.0
2005-06-05,9.50
2006-11-02,8.75
2008-02-10,9.00
2008-05-08,9.50
2008-06-26,10.00
2008-08-14,11.50
2009-02-12,10.50
2009-05-14,9.50
2009-09-17,8.25
2011-11-24,9.25
2013-08-01,8.75
2013-12-05,8.25
2014-07-17,9.25
2015-01-15,8.75
2015-12-24,9.25
2016-03-17,10.75
2016-06-16,11.75
2016-11-03,14.75
2017-05-21,16.75
2017-07-06,18.75
2018-02-15,17.75
2018-03-29,16.75
2019-02-14,15.75
2019-08-22,14.25
2019-09-26,13.25
2019-11-14,12.25
2020-03-16,9.25
2020-09-24,8.75
2020-11-12,8.25
2022-03-21,9.25
2022-05-19,11.25
2022-10-27,13.25
2022-12-22,16.25
2023-03-30,18.25
2023-08-03,19.25
2024-02-01,21.25
2024-03-06,27.25
2024-05-23,27.25
2024-07-18,27.25
2024-09-05,27.25
2024-10-17,27.25
2024-11-21,27.25
2024-12-26,27.25
2025-04-17,26.25
2025-05-22,24.00
2025-08-28,22.00
2025-10-02,21.00
2025-12-25,20.00
2026-02-12,19.00
2026-03-26,19.00
